itm_no_item|NIEPRAWIDŁOWY PRZEDMIOT
itm_french_arty_train_pl|French Artillery Train Uniform
itm_french_grenadier_a_cheval_body_trumpeter|French Trumpeter Uniform
itm_french_grenadier_a_cheval_body_trumpeter_pl|French Trumpeter Uniform
itm_french_captain|french captain
itm_french_captain_pl|french captain
itm_french_equipage_batallion|french equipage batallion
itm_french_equipage_batallion_pl|french equipage batallion
itm_french_surgeon|Surgeon Outfit
itm_french_surgeon_pl|Surgeon Outfit
itm_british_infantry_ranker|British Infantry Uniform
itm_british_infantry_ranker_pl|British Infantry Uniform
itm_british_infantry_sarge|British Infantry Uniform
itm_british_infantry_sarge_pl|British Infantry Uniform
itm_british_infantry_officer|British Infantry Uniform
itm_british_infantry_officer_pl|British Infantry Uniform
itm_british_infantry_drum|British Infantry Uniform
itm_british_infantry_drum_pl|British Infantry Uniform
itm_british_infantry_flute|British Infantry Uniform
itm_british_infantry_flute_pl|British Infantry Uniform
itm_british_kgl_ranker|KGL Infantry Uniform
itm_british_kgl_ranker_pl|KGL Infantry Uniform
itm_british_kgl_sarge|KGL Infantry Uniform
itm_british_kgl_sarge_pl|KGL Infantry Uniform
itm_british_kgl_officer|KGL Infantry Uniform
itm_british_kgl_officer_pl|KGL Infantry Uniform
itm_british_kgl_drum|KGL Infantry Uniform
itm_british_kgl_drum_pl|KGL Infantry Uniform
itm_british_kgl_flute|KGL Infantry Uniform
itm_british_kgl_flute_pl|KGL Infantry Uniform
itm_british_highland_ranker|British Highland Infantry Uniform
itm_british_highland_ranker_pl|British Highland Infantry Uniform
itm_british_highland_sarge|British Highland Infantry Uniform
itm_british_highland_sarge_pl|British Highland Infantry Uniform
itm_british_highland_officer|British Highland Infantry Uniform
itm_british_highland_officer_pl|British Highland Infantry Uniform
itm_british_highland_drummer|British Highland Infantry Uniform
itm_british_highland_drummer_pl|British Highland Infantry Uniform
itm_british_highland_piper|British Highland Infantry Uniform
itm_british_highland_piper_pl|British Highland Infantry Uniform
itm_british_highland_piper_2|British Highland Infantry Uniform
itm_british_highland_piper_2_pl|British Highland Infantry Uniform
itm_british_guard_ranker|British Guard Infantry Uniform
itm_british_guard_ranker_pl|British Guard Infantry Uniform
itm_british_guard_sarge|British Guard Infantry Uniform
itm_british_guard_sarge_pl|British Guard Infantry Uniform
itm_british_guard_officer|British Guard Infantry Uniform
itm_british_guard_officer_pl|British Guard Infantry Uniform
itm_british_guard_drum|British Guard Infantry Uniform
itm_british_guard_drum_pl|British Guard Infantry Uniform
itm_british_guard_flute|British Guard Infantry Uniform
itm_british_guard_flute_pl|British Guard Infantry Uniform
itm_british_light_ranker|British Light Infantry Uniform
itm_british_light_ranker_pl|British Light Infantry Uniform
itm_british_light_sarge|British Light Infantry Uniform
itm_british_light_sarge_pl|British Light Infantry Uniform
itm_british_light_officer|British Light Infantry Uniform
itm_british_light_officer_pl|British Light Infantry Uniform
itm_british_light_bugler|British Light Infantry Uniform
itm_british_light_bugler_pl|British Light Infantry Uniform
itm_british_rifle_ranker|British Rifleman Uniform
itm_british_rifle_ranker_pl|British Rifleman Uniform
itm_british_rifle_sarge|British Rifleman Uniform
itm_british_rifle_sarge_pl|British Rifleman Uniform
itm_british_rifle_captain|British Rifleman Uniform
itm_british_rifle_captain_pl|British Rifleman Uniform
itm_british_rifle_bugler|British Rifleman Uniform
itm_british_rifle_bugler_pl|British Rifleman Uniform
itm_british_artillery_ranker|British Artillery Uniform
itm_british_artillery_ranker_pl|British Artillery Uniform
itm_british_artillery_officer|British Artillery Uniform
itm_british_artillery_officer_pl|British Artillery Uniform
itm_british_artillery_train|British Artillery Uniform
itm_british_artillery_train_pl|British Artillery Uniform
itm_british_light_dragoon|British Light Dragoon Uniform
itm_british_light_dragoon_pl|British Light Dragoon Uniform
itm_british_light_dragoon_officer|British Light Dragoon Uniform
itm_british_light_dragoon_officer_pl|British Light Dragoon Uniform
itm_british_inniskilling_ranker|British Dragoon Uniform
itm_british_inniskilling_ranker_pl|British Dragoon Uniform
itm_british_inniskilling_officer|British Dragoon Uniform
itm_british_inniskilling_officer_pl|British Dragoon Uniform
itm_british_blue_ranker|British Horse Guard Uniform
itm_british_blue_ranker_pl|British Horse Guard Uniform
itm_british_blue_officer|British Horse Guard Uniform
itm_british_blue_officer_pl|British Horse Guard Uniform
itm_british_kgl_hussar_ranker|British Horse Guard Uniform
itm_british_kgl_hussar_ranker_pl|British Horse Guard Uniform
itm_british_kgl_hussar_officer|British Horse Guard Uniform
itm_british_kgl_hussar_officer_pl|British Horse Guard Uniform
itm_british_kgl_hussar_trumpeter|British Horse Guard Uniform
itm_british_kgl_hussar_trumpeter_pl|British Horse Guard Uniform
itm_british_wellington|British Wellington Uniform
itm_british_wellington_pl|British Wellington Uniform
itm_british_rocketeer|British Rocketeer Uniform
itm_british_rocketeer_pl|British Rocketeer Uniform
itm_british_sapper|British Sapper Uniform
itm_british_sapper_pl|British Sapper Uniform
itm_british_captain|British Captain Uniform
itm_british_captain_pl|British Captain Uniform
itm_british_royal_marine|British Royal Marine Uniform
itm_british_royal_marine_pl|British Royal Marine Uniform
itm_naked_female_body|naked female body
itm_naked_female_body_pl|naked female body
itm_naked_male_body|naked male body
itm_naked_male_body_pl|naked male body
itm_british_surgeon|Surgeon Outfit
itm_british_surgeon_pl|Surgeon Outfit
itm_prussian_infantry_ranker|Prussian Infantry Uniform
itm_prussian_infantry_ranker_pl|Prussian Infantry Uniform
itm_prussian_infantry_nco|Prussian Infantry Uniform
itm_prussian_infantry_nco_pl|Prussian Infantry Uniform
itm_prussian_infantry_officer|Prussian Infantry Uniform
itm_prussian_infantry_officer_pl|Prussian Infantry Uniform
itm_prussian_infantry_drum|Prussian Infantry Uniform
itm_prussian_infantry_drum_pl|Prussian Infantry Uniform
itm_prussian_infantry_flute|Prussian Infantry Uniform
itm_prussian_infantry_flute_pl|Prussian Infantry Uniform
itm_prussian_dragoon_ranker|Prussian Dragoon Uniform
itm_prussian_dragoon_ranker_pl|Prussian Dragoon Uniform
itm_prussian_dragoon_nco|Prussian Dragoon Uniform
itm_prussian_dragoon_nco_pl|Prussian Dragoon Uniform
itm_prussian_dragoon_officer|Prussian Dragoon Uniform
itm_prussian_dragoon_officer_pl|Prussian Dragoon Uniform
itm_prussian_dragoon_trumpet|Prussian Dragoon Uniform
itm_prussian_dragoon_trumpet_pl|Prussian Dragoon Uniform
itm_prussian_jaeger_ranker|Prussian Jaeger Uniform
itm_prussian_jaeger_ranker_pl|Prussian Jaeger Uniform
itm_prussian_jaeger_ranker_alt|Prussian Jaeger Uniform
itm_prussian_jaeger_ranker_alt_pl|Prussian Jaeger Uniform
itm_prussian_jaeger_nco|Prussian Jaeger Uniform
itm_prussian_jaeger_nco_pl|Prussian Jaeger Uniform
itm_prussian_jaeger_officer|Prussian Jaeger Uniform
itm_prussian_jaeger_officer_pl|Prussian Jaeger Uniform
itm_prussian_jaeger_hornist|Prussian Jaeger Uniform
itm_prussian_jaeger_hornist_pl|Prussian Jaeger Uniform
itm_prussian_guard_ranker|Prussian Foot Guard Uniform
itm_prussian_guard_ranker_pl|Prussian Foot Guard Uniform
itm_prussian_guard_nco|Prussian Foot Guard Uniform
itm_prussian_guard_nco_pl|Prussian Foot Guard Uniform
itm_prussian_guard_officer|Prussian Foot Guard Uniform
itm_prussian_guard_officer_pl|Prussian Foot Guard Uniform
itm_prussian_guard_drummer|Prussian Foot Guard Uniform
itm_prussian_guard_drummer_pl|Prussian Foot Guard Uniform
itm_prussian_guard_flute|Prussian Foot Guard Uniform
itm_prussian_guard_flute_pl|Prussian Foot Guard Uniform
itm_prussian_arty_ranker|Prussian Artillery Uniform
itm_prussian_arty_ranker_pl|Prussian Artillery Uniform
itm_prussian_arty_train|Prussian Artillery Uniform
itm_prussian_arty_train_pl|Prussian Artillery Uniform
itm_prussian_arty_officer|Prussian Artillery Uniform
itm_prussian_arty_officer_pl|Prussian Artillery Uniform
itm_prussian_hussar_ranker|Prussian Hussar Uniform
itm_prussian_hussar_ranker_pl|Prussian Hussar Uniform
itm_prussian_hussar_nco|Prussian Hussar Uniform
itm_prussian_hussar_nco_pl|Prussian Hussar Uniform
itm_prussian_hussar_officer|Prussian Hussar Uniform
itm_prussian_hussar_officer_pl|Prussian Hussar Uniform
itm_prussian_hussar_officer_variant|Prussian Hussar Uniform
itm_prussian_hussar_officer_variant_pl|Prussian Hussar Uniform
itm_prussian_hussar_trumpet|Prussian Hussar Uniform
itm_prussian_hussar_trumpet_pl|Prussian Hussar Uniform
itm_prussian_infantry2_ranker|Prussian Infantry Uniform
itm_prussian_infantry2_ranker_pl|Prussian Infantry Uniform
itm_prussian_infantry2_nco|Prussian Infantry Uniform
itm_prussian_infantry2_nco_pl|Prussian Infantry Uniform
itm_prussian_infantry2_officer|Prussian Infantry Uniform
itm_prussian_infantry2_officer_pl|Prussian Infantry Uniform
itm_prussian_infantry2_drum|Prussian Infantry Uniform
itm_prussian_infantry2_drum_pl|Prussian Infantry Uniform
itm_prussian_infantry2_flute|Prussian Infantry Uniform
itm_prussian_infantry2_flute_pl|Prussian Infantry Uniform
itm_prussian_landwehr_ranker|Prussian Landwehr Uniform
itm_prussian_landwehr_ranker_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_ranker_alt|Prussian Landwehr Uniform
itm_prussian_landwehr_ranker_alt_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_nco|Prussian Landwehr Uniform
itm_prussian_landwehr_nco_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_officer|Prussian Landwehr Uniform
itm_prussian_landwehr_officer_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_drum|Prussian Landwehr Uniform
itm_prussian_landwehr_drum_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_flute|Prussian Landwehr Uniform
itm_prussian_landwehr_flute_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_ranker|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_ranker_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_nco|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_nco_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_officer|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_officer_pl|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_trumpet|Prussian Landwehr Uniform
itm_prussian_landwehr_cav_trumpet_pl|Prussian Landwehr Uniform
itm_prussian_blucher|Blucher's Uniform
itm_prussian_blucher_pl|Blucher's Uniform
itm_prussian_cuirassier_ranker|Prussian Cuirassier Uniform
itm_prussian_cuirassier_ranker_pl|Prussian Cuirassier Uniform
itm_prussian_cuirassier_nco|Prussian Cuirassier Uniform
itm_prussian_cuirassier_nco_pl|Prussian Cuirassier Uniform
itm_prussian_cuirassier_officer|Prussian Cuirassier Uniform
itm_prussian_cuirassier_officer_pl|Prussian Cuirassier Uniform
itm_prussian_cuirassier_trumpet|Prussian Cuirassier Uniform
itm_prussian_cuirassier_trumpet_pl|Prussian Cuirassier Uniform
itm_prussian_freikorps_ranker|Prussian Freikorps Uniform
itm_prussian_freikorps_ranker_pl|Prussian Freikorps Uniform
itm_prussian_freikorps_nco|Prussian Freikorps Uniform
itm_prussian_freikorps_nco_pl|Prussian Freikorps Uniform
itm_prussian_freikorps_officer|Prussian Freikorps Uniform
itm_prussian_freikorps_officer_pl|Prussian Freikorps Uniform
itm_prussian_freikorps_drum|Prussian Freikorps Uniform
itm_prussian_freikorps_drum_pl|Prussian Freikorps Uniform
itm_prussian_freikorps_flute|Prussian Freikorps Uniform
itm_prussian_freikorps_flute_pl|Prussian Freikorps Uniform
itm_prussian_pioneer|Prussian Pioneer Uniform
itm_prussian_pioneer_pl|Prussian Pioneer Uniform
itm_prussian_surgeon|Surgeon Outfit
itm_prussian_surgeon_pl|Surgeon Outfit
itm_russian_infantry1|Russian Infantry Uniform
itm_russian_infantry1_pl|Russian Infantry Uniform
itm_russian_infantry_nco|Russian Infantry Uniform
itm_russian_infantry_nco_pl|Russian Infantry Uniform
itm_russian_infantry_officer|Russian Infantry Uniform
itm_russian_infantry_officer_pl|Russian Infantry Uniform
itm_russian_drummer|Russian Infantry Uniform
itm_russian_drummer_pl|Russian Infantry Uniform
itm_russian_flautist|Russian Infantry Uniform
itm_russian_flautist_pl|Russian Infantry Uniform
itm_russian_hussar_officer|Russian Hussar Uniform
itm_russian_hussar_officer_pl|Russian Hussar Uniform
itm_russian_hussar_nco|Russian Hussar Uniform
itm_russian_hussar_nco_pl|Russian Hussar Uniform
itm_russian_hussar_ranker|Russian Hussar Uniform
itm_russian_hussar_ranker_pl|Russian Hussar Uniform
itm_russian_hussar_trumpeter|Russian Hussar Uniform
itm_russian_hussar_trumpeter_pl|Russian Hussar Uniform
itm_russian_horse_guard|Russian Chevalier-Garde Uniform
itm_russian_horse_guard_pl|Russian Chevalier-Garde Uniform
itm_russian_horse_guard_nco|Russian Chevalier-Garde Uniform
itm_russian_horse_guard_nco_pl|Russian Chevalier-Garde Uniform
itm_russian_horse_guard_officer|Russian Chevalier-Garde Uniform
itm_russian_horse_guard_officer_pl|Russian Chevalier-Garde Uniform
itm_russian_horse_guard_trumpeter|Russian Chevalier-Garde Uniform
itm_russian_horse_guard_trumpeter_pl|Russian Chevalier-Garde Uniform
itm_russian_cossack_officer|Russian Cossack Uniform
itm_russian_cossack_officer_pl|Russian Cossack Uniform
itm_russian_cossack|Russian Cossack Uniform
itm_russian_cossack_pl|Russian Cossack Uniform
itm_kutuzov|Kutuzov Uniform
itm_kutuzov_pl|Kutuzov Uniform
itm_russian_militia_officer|Russian Militia Officer Uniform
itm_russian_militia_officer_pl|Russian Militia Officer Uniform
itm_russian_militia_ranker|Russian Militia Uniform
itm_russian_militia_ranker_pl|Russian Militia Uniform
itm_russian_guard_officer|Russian Guard Infantry Uniform
itm_russian_guard_officer_pl|Russian Guard Infantry Uniform
itm_russian_guard_nco|Russian Guard Infantry Uniform
itm_russian_guard_nco_pl|Russian Guard Infantry Uniform
itm_russian_guard_ranker|Russian Guard Infantry Uniform
itm_russian_guard_ranker_pl|Russian Guard Infantry Uniform
itm_russian_guard_drummer|Russian Guard Infantry Uniform
itm_russian_guard_drummer_pl|Russian Guard Infantry Uniform
itm_russian_guard_flautist|Russian Guard Infantry Uniform
itm_russian_guard_flautist_pl|Russian Guard Infantry Uniform
itm_russian_jaeger_officer|Russian Jaeger Uniform
itm_russian_jaeger_officer_pl|Russian Jaeger Uniform
itm_russian_jaeger_nco|Russian Jaeger Uniform
itm_russian_jaeger_nco_pl|Russian Jaeger Uniform
itm_russian_jaeger_ranker|Russian Jaeger Uniform
itm_russian_jaeger_ranker_pl|Russian Jaeger Uniform
itm_russian_jaeger_musician|Russian Jaeger Uniform
itm_russian_jaeger_musician_pl|Russian Jaeger Uniform
itm_russian_gren_officer|Russian Infantry Uniform
itm_russian_gren_officer_pl|Russian Infantry Uniform
itm_russian_gren_nco|Russian Infantry Uniform
itm_russian_gren_nco_pl|Russian Infantry Uniform
itm_russian_gren_ranker|Russian Infantry Uniform
itm_russian_gren_ranker_pl|Russian Infantry Uniform
itm_russian_arty_officer|Russian Artillery Uniform
itm_russian_arty_officer_pl|Russian Artillery Uniform
itm_russian_arty_nco|Russian Artillery Uniform
itm_russian_arty_nco_pl|Russian Artillery Uniform
itm_russian_arty_ranker|Russian Artillery Uniform
itm_russian_arty_ranker_pl|Russian Artillery Uniform
itm_russian_dragoon_officer|Russian Dragoon Uniform
itm_russian_dragoon_officer_pl|Russian Dragoon Uniform
itm_russian_dragoon_nco|Russian Dragoon Uniform
itm_russian_dragoon_nco_pl|Russian Dragoon Uniform
itm_russian_dragoon_ranker|Russian Dragoon Uniform
itm_russian_dragoon_ranker_pl|Russian Dragoon Uniform
itm_russian_dragoon_trumpeter|Russian Dragoon Uniform
itm_russian_dragoon_trumpeter_pl|Russian Dragoon Uniform
itm_rus_partizan1|Russian Great Coat
itm_rus_partizan1_pl|Russian Great Coat
itm_rus_partizan2|Russian Great Coat
itm_rus_partizan2_pl|Russian Great Coat
itm_russian_uhlan_officer|Russian Uhlan Uniform
itm_russian_uhlan_officer_pl|Russian Uhlan Uniform
itm_russian_uhlan_nco|Russian Uhlan Uniform
itm_russian_uhlan_nco_pl|Russian Uhlan Uniform
itm_russian_uhlan_ranker|Russian Uhlan Uniform
itm_russian_uhlan_ranker_pl|Russian Uhlan Uniform
itm_russian_uhlan_trumpeter|Russian Uhlan Uniform
itm_russian_uhlan_trumpeter_pl|Russian Uhlan Uniform
itm_rus_pioneer|Russian Pioneer Uniform
itm_rus_pioneer_pl|Russian Pioneer Uniform
itm_russian_surgeon|Surgeon Outfit
itm_russian_surgeon_pl|Surgeon Outfit
itm_austrian_infantry|Austrian Infantry Uniform
itm_austrian_infantry_pl|Austrian Infantry Uniform
itm_austrian_infantry_nco|Austrian Infantry Uniform
itm_austrian_infantry_nco_pl|Austrian Infantry Uniform
itm_austrian_infantry_officer|Austrian Infantry Uniform
itm_austrian_infantry_officer_pl|Austrian Infantry Uniform
itm_austrian_infantry_drummer|Austrian Infantry Uniform
itm_austrian_infantry_drummer_pl|Austrian Infantry Uniform
itm_austrian_infantry_fifer|Austrian Infantry Uniform
itm_austrian_infantry_fifer_pl|Austrian Infantry Uniform
itm_austrian_infantry2|Hungarian Infantry Uniform
itm_austrian_infantry2_pl|Hungarian Infantry Uniform
itm_austrian_infantry2_nco|Hungarian Infantry Uniform
itm_austrian_infantry2_nco_pl|Hungarian Infantry Uniform
itm_austrian_infantry2_officer|Hungarian Infantry Uniform
itm_austrian_infantry2_officer_pl|Hungarian Infantry Uniform
itm_austrian_infantry2_drummer|Hungarian Infantry Uniform
itm_austrian_infantry2_drummer_pl|Hungarian Infantry Uniform
itm_austrian_infantry2_fifer|Hungarian Infantry Uniform
itm_austrian_infantry2_fifer_pl|Hungarian Infantry Uniform
itm_austrian_grenadier|Hungarian Infantry Uniform
itm_austrian_grenadier_pl|Hungarian Infantry Uniform
itm_austrian_grenadier_alt|Hungarian Infantry Uniform
itm_austrian_grenadier_alt_pl|Hungarian Infantry Uniform
itm_austrian_grenadier_nco|Hungarian Infantry Uniform
itm_austrian_grenadier_nco_pl|Hungarian Infantry Uniform
itm_austrian_grenadier_officer|Hungarian Infantry Uniform
itm_austrian_grenadier_officer_pl|Hungarian Infantry Uniform
itm_austrian_grenadier_drummer|Hungarian Infantry Uniform
itm_austrian_grenadier_drummer_pl|Hungarian Infantry Uniform
itm_austrian_grenadier_fifer|Hungarian Infantry Uniform
itm_austrian_grenadier_fifer_pl|Hungarian Infantry Uniform
itm_austrian_grenzer|Austrian Grenzer Uniform
itm_austrian_grenzer_pl|Austrian Grenzer Uniform
itm_austrian_grenzer_nco|Austrian Grenzer Uniform
itm_austrian_grenzer_nco_pl|Austrian Grenzer Uniform
itm_austrian_grenzer_officer|Austrian Grenzer Uniform
itm_austrian_grenzer_officer_pl|Austrian Grenzer Uniform
itm_austrian_grenzer_drummer|Austrian Grenzer Uniform
itm_austrian_grenzer_drummer_pl|Austrian Grenzer Uniform
itm_austrian_grenzer_fifer|Austrian Grenzer Uniform
itm_austrian_grenzer_fifer_pl|Austrian Grenzer Uniform
itm_austrian_jaeger|Austrian Jaeger Uniform
itm_austrian_jaeger_pl|Austrian Jaeger Uniform
itm_austrian_jaeger_nco|Austrian Jaeger Uniform
itm_austrian_jaeger_nco_pl|Austrian Jaeger Uniform
itm_austrian_jaeger_officer|Austrian Jaeger Uniform
itm_austrian_jaeger_officer_pl|Austrian Jaeger Uniform
itm_austrian_jaeger_hornist|Austrian Jaeger Uniform
itm_austrian_jaeger_hornist_pl|Austrian Jaeger Uniform
itm_austrian_lightcav|Austrian Chevau-leger Uniform
itm_austrian_lightcav_pl|Austrian Chevau-leger Uniform
itm_austrian_lightcav_nco|Austrian Chevau-leger Uniform
itm_austrian_lightcav_nco_pl|Austrian Chevau-leger Uniform
itm_austrian_lightcav_trumpet|Austrian Chevau-leger Uniform
itm_austrian_lightcav_trumpet_pl|Austrian Chevau-leger Uniform
itm_austrian_lightcav_officer|Austrian Chevau-leger Uniform
itm_austrian_lightcav_officer_pl|Austrian Chevau-leger Uniform
itm_austrian_dragoon|Austrian Dragoon Uniform
itm_austrian_dragoon_pl|Austrian Dragoon Uniform
itm_austrian_dragoon_nco|Austrian Dragoon Uniform
itm_austrian_dragoon_nco_pl|Austrian Dragoon Uniform
itm_austrian_dragoon_trumpet|Austrian Dragoon Uniform
itm_austrian_dragoon_trumpet_pl|Austrian Dragoon Uniform
itm_austrian_dragoon_officer|Austrian Dragoon Uniform
itm_austrian_dragoon_officer_pl|Austrian Dragoon Uniform
itm_austrian_uhlan|Austrian Uhlan Uniform
itm_austrian_uhlan_pl|Austrian Uhlan Uniform
itm_austrian_uhlan_nco|Austrian Uhlan Uniform
itm_austrian_uhlan_nco_pl|Austrian Uhlan Uniform
itm_austrian_uhlan_trumpet|Austrian Uhlan Uniform
itm_austrian_uhlan_trumpet_pl|Austrian Uhlan Uniform
itm_austrian_uhlan_officer|Austrian Uhlan Uniform
itm_austrian_uhlan_officer_pl|Austrian Uhlan Uniform
itm_austrian_arty|Austrian Artillery Uniform
itm_austrian_arty_pl|Austrian Artillery Uniform
itm_austrian_arty_train|Austrian Artillery Uniform
itm_austrian_arty_train_pl|Austrian Artillery Uniform
itm_austrian_arty_officer|Austrian Artillery Uniform
itm_austrian_arty_officer_pl|Austrian Artillery Uniform
itm_austrian_pioneer|Austrian Pioneer Uniform
itm_austrian_pioneer_pl|Austrian Pioneer Uniform
itm_austrian_hussar|Austrian Hussar Uniform
itm_austrian_hussar_pl|Austrian Hussar Uniform
itm_austrian_hussar_nco|Austrian Hussar Uniform
itm_austrian_hussar_nco_pl|Austrian Hussar Uniform
itm_austrian_hussar_trumpet|Austrian Hussar Uniform
itm_austrian_hussar_trumpet_pl|Austrian Hussar Uniform
itm_austrian_hussar_officer|Austrian Hussar Uniform
itm_austrian_hussar_officer_pl|Austrian Hussar Uniform
itm_austrian_cuiraisser|Austrian Cuirassier Uniform
itm_austrian_cuiraisser_pl|Austrian Cuirassier Uniform
itm_austrian_cuiraisser_nco|Austrian Cuirassier Uniform
itm_austrian_cuiraisser_nco_pl|Austrian Cuirassier Uniform
itm_austrian_cuiraisser_trumpet|Austrian Cuirassier Uniform
itm_austrian_cuiraisser_trumpet_pl|Austrian Cuirassier Uniform
itm_austrian_cuiraisser_officer|Austrian Cuirassier Uniform
itm_austrian_cuiraisser_officer_pl|Austrian Cuirassier Uniform
itm_austrian_schwarzenberg|Schwarzenberg's Uniform
itm_austrian_schwarzenberg_pl|Schwarzenberg's Uniform
itm_austrian_surgeon|Surgeon Outfit
itm_austrian_surgeon_pl|Surgeon Outfit
itm_bavarian_inf_ranker|Bavarian Uniform
itm_bavarian_inf_ranker_pl|Bavarian Uniform
itm_bavarian_inf_flagcarrier|Bavarian Uniform
itm_bavarian_inf_flagcarrier_pl|Bavarian Uniform
itm_bavarian_inf_officer|Bavarian Uniform
itm_bavarian_inf_officer_pl|Bavarian Uniform
itm_bavarian_inf_drummer|Bavarian Uniform
itm_bavarian_inf_drummer_pl|Bavarian Uniform
itm_bavarian_inf_flutist|Bavarian Uniform
itm_bavarian_inf_flutist_pl|Bavarian Uniform
itm_bavarian_jaeger_ranker|Bavarian Uniform
itm_bavarian_jaeger_ranker_pl|Bavarian Uniform
itm_bavarian_jaeger_nco|Bavarian Uniform
itm_bavarian_jaeger_nco_pl|Bavarian Uniform
itm_bavarian_jaeger_officer|Bavarian Uniform
itm_bavarian_jaeger_officer_pl|Bavarian Uniform
itm_bavarian_jaeger_hornist|Bavarian Uniform
itm_bavarian_jaeger_hornist_pl|Bavarian Uniform
itm_bavarian_artillery_ranker|Bavarian Uniform
itm_bavarian_artillery_ranker_pl|Bavarian Uniform
itm_bavarian_artillery_train|Bavarian Uniform
itm_bavarian_artillery_train_pl|Bavarian Uniform
itm_bavarian_artillery_officer|Bavarian Uniform
itm_bavarian_artillery_officer_pl|Bavarian Uniform
itm_saxon_inf_ranker|Saxon Uniform
itm_saxon_inf_ranker_pl|Saxon Uniform
itm_saxon_inf_nco|Saxon Uniform
itm_saxon_inf_nco_pl|Saxon Uniform
itm_saxon_inf_officer|Saxon Uniform
itm_saxon_inf_officer_pl|Saxon Uniform
itm_saxon_inf_drummer|Saxon Uniform
itm_saxon_inf_drummer_pl|Saxon Uniform
itm_saxon_inf_fifer|Saxon Uniform
itm_saxon_inf_fifer_pl|Saxon Uniform
itm_saxon_uhlan_ranker|Saxon Uniform
itm_saxon_uhlan_ranker_pl|Saxon Uniform
itm_saxon_uhlan_ranker_alt|Saxon Uniform
itm_saxon_uhlan_ranker_alt_pl|Saxon Uniform
itm_saxon_uhlan_nco|Saxon Uniform
itm_saxon_uhlan_nco_pl|Saxon Uniform
itm_saxon_uhlan_officer|Saxon Uniform
itm_saxon_uhlan_officer_pl|Saxon Uniform
itm_saxon_uhlan_trumpet|Saxon Uniform
itm_saxon_uhlan_trumpet_pl|Saxon Uniform
itm_hessian_inf_ranker|Hessian Uniform
itm_hessian_inf_ranker_pl|Hessian Uniform
itm_hessian_inf_nco|Hessian Uniform
itm_hessian_inf_nco_pl|Hessian Uniform
itm_hessian_inf_officer|Hessian Uniform
itm_hessian_inf_officer_pl|Hessian Uniform
itm_rhine_surgeon|Surgeon Outfit
itm_rhine_surgeon_pl|Surgeon Outfit
itm_westphalian_guard_ranker|Westphalian Uniform
itm_westphalian_guard_ranker_pl|Westphalian Uniform
itm_westphalian_guard_nco|Westphalian Uniform
itm_westphalian_guard_nco_pl|Westphalian Uniform
itm_westphalian_guard_officer|Westphalian Uniform
itm_westphalian_guard_officer_pl|Westphalian Uniform
itm_westphalian_guard_drummer|Westphalian Uniform
itm_westphalian_guard_drummer_pl|Westphalian Uniform
itm_westphalian_guard_fifer|Westphalian Uniform
itm_westphalian_guard_fifer_pl|Westphalian Uniform
itm_saxon_king|Royal Outfit
itm_saxon_king_pl|Royal Outfit
itm_nassau_jaeger_ranker|Nassauer Uniform
itm_nassau_jaeger_ranker_pl|Nassauer Uniform
itm_nassau_jaeger_nco|Nassauer Uniform
itm_nassau_jaeger_nco_pl|Nassauer Uniform
itm_nassau_jaeger_officer|Nassauer Uniform
itm_nassau_jaeger_officer_pl|Nassauer Uniform
itm_nassau_jaeger_trumpet|Nassauer Uniform
itm_nassau_jaeger_trumpet_pl|Nassauer Uniform
itm_wurttemberg_inf_ranker|wurttemberg Uniform
itm_wurttemberg_inf_ranker_pl|wurttemberg Uniform
itm_wurttemberg_inf_flagcarrier|wurttemberg Uniform
itm_wurttemberg_inf_flagcarrier_pl|wurttemberg Uniform
itm_wurttemberg_inf_officer|wurttemberg Uniform
itm_wurttemberg_inf_officer_pl|wurttemberg Uniform
itm_wurttemberg_inf_drummer|wurttemberg Uniform
itm_wurttemberg_inf_drummer_pl|wurttemberg Uniform
itm_wurttemberg_inf_flutist|wurttemberg Uniform
itm_wurttemberg_inf_flutist_pl|wurttemberg Uniform
itm_wurttemberg2_inf_ranker|wurttemberg2 Uniform
itm_wurttemberg2_inf_ranker_pl|wurttemberg2 Uniform
itm_wurttemberg2_inf_flagcarrier|wurttemberg2 Uniform
itm_wurttemberg2_inf_flagcarrier_pl|wurttemberg2 Uniform
itm_wurttemberg2_inf_officer|wurttemberg2 Uniform
itm_wurttemberg2_inf_officer_pl|wurttemberg2 Uniform
itm_wurttemberg2_inf_drummer|wurttemberg2 Uniform
itm_wurttemberg2_inf_drummer_pl|wurttemberg2 Uniform
itm_wurttemberg2_inf_flutist|wurttemberg2 Uniform
itm_wurttemberg2_inf_flutist_pl|wurttemberg2 Uniform
